"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2021-03-16,3,"None",17
2021-03-17,1,"None",22492
2021-03-17,2,"None",8855
2021-03-17,3,"None",17
2021-03-18,1,"None",23502
2021-03-18,2,"None",8258
2021-03-18,3,"None",19
2021-03-19,1,"None",24068
2021-03-19,2,"None",7065
2021-03-19,3,"None",30
2021-03-20,1,"None",23926
2021-03-20,2,"None",5885
2021-03-20,3,"None",23
2021-03-21,1,"None",14424
2021-03-21,2,"None",2805
2021-03-21,3,"None",6
2021-03-22,1,"None",14586
2021-03-22,2,"None",6296
2021-03-22,3,"None",58
2021-03-23,1,"None",17344
2021-03-23,2,"None",10243
2021-03-23,3,"None",22
2021-03-24,1,"None",19018
2021-03-24,2,"None",9658
2021-03-24,3,"None",29
2021-03-25,1,"None",18630
2021-03-25,2,"None",9463
2021-03-25,3,"None",20
2021-03-26,1,"None",19531
2021-03-26,2,"None",9301
2021-03-26,3,"None",65
2021-03-26,4,"None",5
2021-03-27,1,"None",19552
2021-03-27,2,"None",11170
2021-03-27,3,"None",14
2021-03-28,1,"None",12925
2021-03-28,2,"None",3661
2021-03-28,3,"None",7
2021-03-29,1,"None",14019
2021-03-29,2,"None",8189
2021-03-29,3,"None",45
2021-03-30,1,"None",14582
2021-03-30,2,"None",11956
2021-03-30,3,"None",30
2021-03-31,1,"None",16919
2021-03-31,2,"None",15146
2021-03-31,3,"None",44
2021-04-01,1,"None",13857
2021-04-01,2,"None",12193
2021-04-01,3,"None",35
2021-04-02,1,"None",10918
2021-04-02,2,"None",9016
2021-04-02,3,"None",12
2021-04-03,1,"None",8040
2021-04-03,2,"None",6259
2021-04-03,3,"None",14
2021-04-04,1,"None",5579
2021-04-04,2,"None",2353
2021-04-04,3,"None",6
2021-04-05,1,"None",4840
2021-04-05,2,"None",4195
2021-04-05,3,"None",5
2021-04-06,1,"None",7948
2021-04-06,2,"None",8391
2021-04-06,3,"None",14
2021-04-07,1,"None",10145
2021-04-07,2,"None",12817
2021-04-07,3,"None",17
2021-04-08,1,"None",9737
2021-04-08,2,"None",14515
2021-04-08,3,"None",50
2021-04-09,1,"None",11472
2021-04-09,2,"None",14494
2021-04-09,3,"None",39
2021-04-10,1,"None",9218
2021-04-10,2,"None",19684
2021-04-10,3,"None",35
2021-04-11,1,"None",7049
2021-04-11,2,"None",4875
2021-04-11,3,"None",13
2021-04-12,1,"None",8598
2021-04-12,2,"None",10152
2021-04-12,3,"None",42
2021-04-13,1,"None",9640
2021-04-13,2,"None",15371
2021-04-13,3,"None",45
2021-04-14,1,"None",10704
2021-04-14,2,"None",15732
2021-04-14,3,"None",33
2021-04-15,1,"None",9485
2021-04-15,2,"None",16166
2021-04-15,3,"None",90
2021-04-16,1,"None",9320
2021-04-16,2,"None",16556
2021-04-16,3,"None",115
2021-04-17,1,"None",7446
2021-04-17,2,"None",15436
2021-04-17,3,"None",90
2021-04-18,1,"None",4499
2021-04-18,2,"None",5556
2021-04-18,3,"None",8
2021-04-19,1,"None",4734
2021-04-19,2,"None",17486
2021-04-19,3,"None",35
2021-04-20,1,"None",8053
2021-04-20,2,"None",22762
2021-04-20,3,"None",38
2021-04-21,1,"None",8379
2021-04-21,2,"None",23445
2021-04-21,3,"None",26
2021-04-22,1,"None",8129
2021-04-22,2,"None",23010
2021-04-22,3,"None",36
2021-04-23,1,"None",8641
2021-04-23,2,"None",19662
2021-04-23,3,"None",66
2021-04-24,1,"None",6677
2021-04-24,2,"None",18802
2021-04-24,3,"None",66
2021-04-25,1,"None",5785
2021-04-25,2,"None",8809
2021-04-25,3,"None",5
2021-04-26,1,"None",6506
2021-04-26,2,"None",15025
2021-04-26,3,"None",41
2021-04-27,1,"None",8306
2021-04-27,2,"None",20154
2021-04-27,3,"None",51
2021-04-28,1,"None",7306
2021-04-28,2,"None",20847
2021-04-28,3,"None",30
2021-04-29,1,"None",7912
2021-04-29,2,"None",19999
2021-04-29,3,"None",44
2021-04-30,1,"None",8939
2021-04-30,2,"None",19384
2021-04-30,3,"None",27
2021-05-01,1,"None",5861
2021-05-01,2,"None",10318
2021-05-01,3,"None",10
2021-05-02,1,"None",4404
2021-05-02,2,"None",7698
2021-05-02,3,"None",8
2021-05-03,1,"None",3611
2021-05-03,2,"None",6448
2021-05-03,3,"None",7
2021-05-04,1,"None",8380
2021-05-04,2,"None",14545
2021-05-04,3,"None",23
2021-05-05,1,"None",9694
2021-05-05,2,"None",16998
2021-05-05,3,"None",26
2021-05-06,1,"None",9773
2021-05-06,2,"None",14140
2021-05-06,3,"None",42
2021-05-07,1,"None",8641
2021-05-07,2,"None",13249
2021-05-07,3,"None",33
2021-05-08,1,"None",9208
2021-05-08,2,"None",10363
2021-05-08,3,"None",32
2021-05-09,1,"None",7758
2021-05-09,2,"None",5461
2021-05-09,3,"None",9
2021-05-10,1,"None",9873
2021-05-10,2,"None",7574
2021-05-10,3,"None",19
2021-05-11,1,"None",10970
2021-05-11,2,"None",12802
2021-05-11,3,"None",54
2021-05-12,1,"None",11340
2021-05-12,2,"None",13964
2021-05-12,3,"None",18
2021-05-13,1,"None",11172
2021-05-13,2,"None",14243
2021-05-13,3,"None",27
2021-05-14,1,"None",10122
2021-05-14,2,"None",14114
2021-05-14,3,"None",33
2021-05-15,1,"None",10832
2021-05-15,2,"None",10098
2021-05-15,3,"None",5
2021-05-16,1,"None",8217
2021-05-16,2,"None",7221
2021-05-16,3,"None",7
2021-05-17,1,"None",4909
2021-05-17,2,"None",14293
2021-05-17,3,"None",16
2021-05-18,1,"None",6527
2021-05-18,2,"None",16590
2021-05-18,3,"None",27
2021-05-19,1,"None",7414
2021-05-19,2,"None",18062
2021-05-19,3,"None",191
2021-05-20,1,"None",8373
2021-05-20,2,"None",14232
2021-05-20,3,"None",13
2021-05-21,1,"None",8040
2021-05-21,2,"None",14377
2021-05-21,3,"None",15
2021-05-22,1,"None",7775
2021-05-22,2,"None",14681
2021-05-22,3,"None",8
2021-05-23,1,"None",5486
2021-05-23,2,"None",7846
2021-05-23,3,"None",6
2021-05-24,1,"None",8135
2021-05-24,2,"None",15031
2021-05-24,3,"None",51
2021-05-25,1,"None",9705
2021-05-25,2,"None",17913
2021-05-25,3,"None",91
2021-05-26,1,"None",8392
2021-05-26,2,"None",15940
2021-05-26,3,"None",50
2021-05-27,1,"None",10518
2021-05-27,2,"None",16538
2021-05-27,3,"None",24
2021-05-28,1,"None",9729
2021-05-28,2,"None",14128
2021-05-28,3,"None",17
2021-05-29,1,"None",7359
2021-05-29,2,"None",12715
2021-05-29,3,"None",9
2021-05-30,1,"None",6344
2021-05-30,2,"None",7052
2021-05-30,3,"None",6
