"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","campaign","model"
"41","sexMale",1.11410852039975,0.00587672642345575,18.3868609928545,1.67395544360559e-75,1.10135053502489,1.12701613962811,"a_2023","fit_agr_sex_reg"
"42","(Intercept)",2.14299108473077,0.00720716378639578,105.756241829815,0,2.1129464944136,2.17349189929158,"a_2023","fit_agr_sex_imd"
"43","age_group65-74",0.559031108169727,0.006535733297178,-88.9800931670542,0,0.551913451906879,0.566235965022922,"a_2023","fit_agr_sex_imd"
"44","age_group85-94",0.735357177210362,0.0101594566683426,-30.2574195111243,4.1672812997538e-201,0.720865220188625,0.750152627629025,"a_2023","fit_agr_sex_imd"
"45","age_group>=95",0.546923744178973,0.0314649999925158,-19.1783217471112,5.6164097012062e-82,0.514251326962428,0.581762140756203,"a_2023","fit_agr_sex_imd"
"46","age_group<=34",0.214349898352209,0.0599381558254333,-25.6955780327635,1.3097733933884e-145,0.190450354236254,0.240907528013912,"a_2023","fit_agr_sex_imd"
"47","age_group35-44",0.220721743470674,0.0516967316475578,-29.2252992005211,9.25299528909021e-188,0.199346766496099,0.244138769100139,"a_2023","fit_agr_sex_imd"
"48","age_group45-54",0.300386413849397,0.0361688720189069,-33.2519517432675,1.91293353170299e-242,0.279791629166102,0.322414694378466,"a_2023","fit_agr_sex_imd"
"49","age_group55-64",0.393894316644835,0.02605433132734,-35.7588389364289,4.82193663538371e-280,0.374280275092658,0.414528168885087,"a_2023","fit_agr_sex_imd"
"50","imdQ1",1.0951823276187,0.00981984542090399,9.25888898969961,2.06570367048961e-20,1.07431291924115,1.11647291388803,"a_2023","fit_agr_sex_imd"
"51","imdQ2",1.1166989689956,0.00905696458950351,12.1869731429827,3.64717813027789e-34,1.09705637027935,1.13670452466159,"a_2023","fit_agr_sex_imd"
"52","imdQ4",1.15590426413449,0.00763239189122579,18.982640356113,2.37362325982129e-80,1.13874301963768,1.1733272473647,"a_2023","fit_agr_sex_imd"
"53","imdQ5",1.06246044213329,0.00933554278870784,6.48996973836969,8.58536171207045e-11,1.04320230613168,1.08208515846091,"a_2023","fit_agr_sex_imd"
"54","sexMale",1.11158136325091,0.0058542869461613,18.0694342489923,5.54796925177988e-73,1.09890062673513,1.12441022921437,"a_2023","fit_agr_sex_imd"
"55","(Intercept)",2.31042509407016,0.00585260273569133,143.087027913837,0,2.28408935396544,2.3370962760541,"a_2023","fit_agr_sex_immuno"
"56","age_group65-74",0.559948756089479,0.00653263610799952,-88.7712091773961,0,0.552822778628273,0.567162003477139,"a_2023","fit_agr_sex_immuno"
"57","age_group85-94",0.735630296923871,0.0101559701618718,-30.2312428575241,9.20570003771861e-201,0.721137892291922,0.750426121718733,"a_2023","fit_agr_sex_immuno"
"58","age_group>=95",0.546581738405809,0.0314537032081207,-19.205096820519,3.35497905927556e-82,0.513941155297983,0.581385509037043,"a_2023","fit_agr_sex_immuno"
"59","age_group<=34",0.215302951024484,0.0622370853789324,-24.6751459967271,1.97736254793797e-134,0.190446737677267,0.243082159504527,"a_2023","fit_agr_sex_immuno"
"60","age_group35-44",0.220870251469101,0.0543524595648185,-27.7849403576202,6.59580469187727e-170,0.198454430683013,0.24558800856309,"a_2023","fit_agr_sex_immuno"
"61","age_group45-54",0.301139032127761,0.0398850630114125,-30.0910448549745,6.34598888643206e-199,0.278461165296494,0.32558899741924,"a_2023","fit_agr_sex_immuno"
"62","age_group55-64",0.393614661290184,0.0310150666728484,-30.0622557133222,1.50994599030617e-198,0.370391074359036,0.418275138098969,"a_2023","fit_agr_sex_immuno"
"63","immunosuppressed1",1.00233115952036,0.0174364882383319,0.133538735068036,0.893767332422131,0.968701480042243,1.03722877093699,"a_2023","fit_agr_sex_immuno"
"64","sexMale",1.11131986338232,0.00585211838803534,18.0359261478758,1.01775865276846e-72,1.09864677768018,1.12414093132348,"a_2023","fit_agr_sex_immuno"
"65","(Intercept)",2.69385162648299,0.00876599474740135,113.047295769905,0,2.64798506132128,2.74055687897924,"a_2023","fit_all"
"66","age_group65-74",0.553615594324432,0.0065709107898276,-89.985197645985,0,0.546529164552297,0.560789276310199,"a_2023","fit_all"
"67","age_group85-94",0.734304620996532,0.0102034060708167,-30.2674733650142,3.07307331709891e-201,0.719771341811765,0.749143358222816,"a_2023","fit_all"
"68","age_group>=95",0.549003134062773,0.0316023894503655,-18.974866750356,2.75208357661395e-80,0.516067342112546,0.584131002300345,"a_2023","fit_all"
"69","age_group<=34",0.207721642763178,0.0625655251176649,-25.1185672706447,3.11783766291313e-139,0.183624138518322,0.23467571940747,"a_2023","fit_all"
"70","age_group35-44",0.219048201542649,0.0546806694721356,-27.7696577176922,1.00894772176721e-169,0.196692235179083,0.243720530348906,"a_2023","fit_all"
"71","age_group45-54",0.299253542322609,0.0401229137890385,-30.0692044357045,1.22498042161709e-198,0.276589288238516,0.323701934176904,"a_2023","fit_all"
"72","age_group55-64",0.389222761919053,0.0311867173815796,-30.2565811904217,4.27445484647827e-201,0.366135240972781,0.413747394984894,"a_2023","fit_all"
"73","immunosuppressed1",0.992779193711112,0.017518216724679,-0.413683801600853,0.679105691594497,0.959315990917564,1.02750845581959,"a_2023","fit_all"
"74","imdQ1",0.978446881968364,0.0100619590133676,-2.16546089615198,0.0303524069035976,0.959345666906996,0.997940587537537,"a_2023","fit_all"
"75","imdQ2",1.07129456162616,0.00917228841080303,7.50824491820629,5.99253144011135e-14,1.05221235417629,1.09073279292342,"a_2023","fit_all"
"76","imdQ4",1.08196920741544,0.0077919632092173,10.1107665620807,4.94954729778201e-24,1.06557177360748,1.09862073696748,"a_2023","fit_all"
"77","imdQ5",1.03519219291873,0.0095717394176678,3.6134605854232,0.000302137301998338,1.01595764810033,1.05480118652868,"a_2023","fit_all"
"78","regionWales",0.750434371854111,0.00658010023098641,-43.6320219375215,0,0.74081838499521,0.760175293484543,"a_2023","fit_all"
"79","regionNorthern Ireland",0.579952003754656,0.010051777517271,-54.2003571086674,0,0.568639115293036,0.591492142019964,"a_2023","fit_all"
"80","regionEngland",0.721275891437465,0.0222632277937226,-14.6759296012498,9.19467457792984e-49,0.690511693022917,0.753482558500079,"a_2023","fit_all"
"81","ethnicityblack",0.528373236351848,0.102214277778901,-6.24132334381666,4.33884274047003e-10,0.432106490898399,0.645257584929599,"a_2023","fit_all"
"82","ethnicityasian",0.478697875779144,0.0418497515970676,-17.6031061585423,2.33177537614391e-69,0.440937278113154,0.519554160289572,"a_2023","fit_all"
"83","ethnicitymissing",0.973518909625777,0.00607565556913418,-4.41730603085067,9.9938685656518e-06,0.961994454945243,0.98518047578588,"a_2023","fit_all"
"84","sexMale",1.11475587790165,0.00588008427286623,18.4751497280023,3.27317956215594e-76,1.10198323259451,1.12767842459245,"a_2023","fit_all"
"85","(Intercept)",1.52562986303838,0.0047832158785626,88.3103251986589,0,1.51139861114346,1.5400045198609,"s_2024","fit_agr"
