"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2023-11-09,3,"a_2023",10
2023-11-09,4,"a_2023",49
2023-11-09,5,"a_2023",2154
2023-11-09,6,"a_2023",699
2023-11-09,7,"a_2023",1882
2023-11-09,8,"a_2023",59
2023-11-10,3,"a_2023",9
2023-11-10,4,"a_2023",54
2023-11-10,5,"a_2023",1611
2023-11-10,6,"a_2023",518
2023-11-10,7,"a_2023",1166
2023-11-10,8,"a_2023",43
2023-11-11,3,"a_2023",5
2023-11-11,4,"a_2023",39
2023-11-11,5,"a_2023",1273
2023-11-11,6,"a_2023",487
2023-11-11,7,"a_2023",981
2023-11-11,8,"a_2023",39
2023-11-12,4,"a_2023",15
2023-11-12,5,"a_2023",548
2023-11-12,6,"a_2023",232
2023-11-12,7,"a_2023",648
2023-11-12,8,"a_2023",17
2023-11-13,3,"a_2023",7
2023-11-13,4,"a_2023",57
2023-11-13,5,"a_2023",1999
2023-11-13,6,"a_2023",463
2023-11-13,7,"a_2023",1468
2023-11-13,8,"a_2023",42
2023-11-13,9,"a_2023",5
2023-11-14,3,"a_2023",13
2023-11-14,4,"a_2023",62
2023-11-14,5,"a_2023",1893
2023-11-14,6,"a_2023",490
2023-11-14,7,"a_2023",1307
2023-11-14,8,"a_2023",49
2023-11-15,3,"a_2023",10
2023-11-15,4,"a_2023",75
2023-11-15,5,"a_2023",1746
2023-11-15,6,"a_2023",403
2023-11-15,7,"a_2023",1113
2023-11-15,8,"a_2023",39
2023-11-16,3,"a_2023",9
2023-11-16,4,"a_2023",51
2023-11-16,5,"a_2023",2029
2023-11-16,6,"a_2023",571
2023-11-16,7,"a_2023",1420
2023-11-16,8,"a_2023",47
2023-11-17,3,"a_2023",13
2023-11-17,4,"a_2023",43
2023-11-17,5,"a_2023",1667
2023-11-17,6,"a_2023",406
2023-11-17,7,"a_2023",1104
2023-11-17,8,"a_2023",46
2023-11-18,3,"a_2023",5
2023-11-18,4,"a_2023",21
2023-11-18,5,"a_2023",882
2023-11-18,6,"a_2023",280
2023-11-18,7,"a_2023",785
2023-11-18,8,"a_2023",40
2023-11-19,3,"a_2023",5
2023-11-19,4,"a_2023",10
2023-11-19,5,"a_2023",299
2023-11-19,6,"a_2023",111
2023-11-19,7,"a_2023",307
2023-11-19,8,"a_2023",6
2023-11-20,3,"a_2023",9
2023-11-20,4,"a_2023",47
2023-11-20,5,"a_2023",1696
2023-11-20,6,"a_2023",306
2023-11-20,7,"a_2023",753
2023-11-20,8,"a_2023",36
2023-11-21,3,"a_2023",7
2023-11-21,4,"a_2023",73
2023-11-21,5,"a_2023",1835
2023-11-21,6,"a_2023",326
2023-11-21,7,"a_2023",747
2023-11-21,8,"a_2023",30
